grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
DEAR0001706,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2949395.0,,"COLUMBIA UNIVERSITY: NEW MINER AWARD.
CONTROL NUMBER: 2707-1523 
PROJECT TITLE: HYDROMETALLURGICAL PRODUCTION OF DOMESTIC METALS FOR ENERGY TRANSITION

COLUMBIA UNIVERSITY PROPOSES TO DEVELOP AN ECONO",False,,general_mineral,extraction
DEAR0001704,BOARD OF REGENTS OF NEVADA SYSTEM OF HIGHER EDUCATION,1000424.0,,"NEVADA SYSTEM OF HIGHER EDUCATION
CONTROL #:2707-1516 
NEW AWARD DE-FOA-0002707(MINER)
PROJECT TITLE: ''ACCELERATED REACTIVE CARBONATION PROCESS (ARCP) FOR ENERGY EFFICIENT SEPARATION OF RARE EARTH MI",False,,rare_earth,separation_purification
DEAR0001703,ARIZONA STATE UNIVERSITY,385000.0,,"PACIFIC NORTHWEST NATIONAL LABORATORY,2707-1515   DE-FOA-0002707 (MINER)
PROJECT TITLE: RE-MINING RED MUD WASTE FOR CO2 CAPTURE AND STORAGE AND CRITICAL ELEMENT RECOVERY (RMCCS-CER)
THE OBJECTIVE OF T",False,,critical_minerals,extraction
DEAR0001702,MICHIGAN TECHNOLOGICAL UNIVERSITY,2467817.0,,"MICHIGAN TECHNOLOGICAL UNIVERSITY, NEW COMPETITIVE AGREEMENT, UNDER FOA NUMBER DE-FOA-0002707 (MINER) WITH CONTROL NUMBER 2707-1510 WITH PROJECT TITLE 'ENERGY REDUCTION AND IMPROVED CRITICAL MINERAL R",False,,critical_minerals,
DEAR0001701,UNIVERSITY OF TEXAS AT ARLINGTON,152720.96,,"UNIVERSITY OF TEXAS AT ARLINGTON
A NEW COMPETITIVE COOPERATIVE AGREEMENT
FOR A PROJECT ENTITLED, ''ELECTROCHEMICAL LITHIUM AND NICKEL EXTRACTION WITH CONCURRENT CARBON DIOXIDE MINERALIZATION''
IN THIS",False,,lithium;nickel,extraction
DEAR0001681,NIRON MAGNETICS INC,19999372.0,,"PILOT PRODUCTION FOR COMMERCIAL SAMPLING OF RARE-EARTH-FREE IRON NITRIDE PERMANENT MAGNETS.  COMMERCIALIZE RARE EARTH-FREE IRON NITRIDE PERMANENT MAGNETS, WHICH, BECAUSE INHERENTLY HIGH SATURATION MAG",False,,rare_earth,process_development
DEAR0001667,ARTIMUS ROBOTICS INC,500000.0,,"ARTIMUS ROBOTICS INC. NEW AWARD 
PROJECT TITLE: LOW-COST ELECTRONICS FOR PRESSURE-AGNOSTIC ACTUATORS DRIVING BIO-INSPIRED VEHICLES FOR DEEP SEA MINING (1954-1946)
THE PURPOSE OF THIS AWARD IS TO PROVI",False,,critical_minerals,
DEAR0001500,PHOENIX TAILINGS INC,499854.99,,"PHOENIX TAILINGS, INC. - NEW AWARD
TINA TOPIC T (SEED), CONTROL NUMBER 1954-1804 
PROJECT TITLE: NOVEL TECHNIQUE FOR DOMESTIC RARE EARTH OXIDE SEPARATION AND RARE EARTH METAL REDUCTION",False,,rare_earth,separation_purification;environmental
DEAR0001396,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,399723.5,,"NEW TINA MIDAS AWARD TO COLUMBIA UNIVERSITY
CONTROL NUMBER: 1953-1847
PROJECT TITLE: INTEGRATED CO2-FACILITATED HYDROMETALLURGICAL AND ELECTROCHEMICAL TECHNOLOGY FOR SUSTAINABLE MINING AND RECOVERY OF",False,,general_mineral,extraction;environmental
DEAR0001395,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2700000.0,,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY: NEW AWARD
CONTROL NO: 1953-181
FOA: TINA-MIDAS FOA (DE-AR0001953)
PROJECT TITLE: ELECTROCHEMICAL MINING OF MSWI ASH

THE PROPOSED PROJECT WILL DEVELOP AN ELECTRO",False,,critical_minerals,recycling
DEAR0001341,CORNELL UNIVERSITY,1000000.0,,"----------

CORNELL UNIVERSITY: NEW CONDITIONAL TINA TOPIC J BIOMINING AWARD.
CONTROL NUMBER: 1953-1701
TITLE: ''ENGINEERED MICROORGANISMS FOR ENHANCED RARE EARTH ELEMENT BIO-MINING AND SEPARATIONS''
",True,biomining_general,rare_earth,separation_purification
