Category,Appl_id,FY,Funding_IC,Project_Number,Sub_Project,Project_Title,PI_Name,Org_Name,State_Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Breast Cancer,10746805,2024,NCI,5R01CA255334-04,,Overcoming hypoxic resistance to anti-cancer therapy,"DENKO, NICHOLAS",OHIO STATE UNIVERSITY,OH,553580,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10746808,2024,NIEHS,5R01ES031809-04,,Investigating Environmental Risk Factors for Breast Cancer Using Adductomics,"FUNK, WILLIAM",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,632114,Strictly_Environmental_or_Gene-Environment,Environmental exposure biomarkers (adductomics),Other,Strictly_Environmental_or_Gene-Environment,,,,
Breast Cancer,10746832,2024,NCI,5R01CA266345-02,,Multinuclear MRI to Monitor Breast Cancer Therapy,"MADELIN, GUILLAUME",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,659883,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746911,2024,NCI,4R00CA263194-03,,Novel regulation of the CDK4/Cdh1/Pin1 signaling axis for targeted breast cancer therapies,"DANG, FABIN",CASE WESTERN RESERVE UNIVERSITY,OH,248999,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747314,2024,NCI,5U54CA268083-03,8997,Tech Core 1,"WU, PEI-HSUN",JOHNS HOPKINS UNIVERSITY,MD,340442,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10747315,2024,NCI,5U54CA268083-03,8998,Tech Core 2,"WIRTZ, DENIS",JOHNS HOPKINS UNIVERSITY,MD,526720,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10747318,2024,NCI,5U54CA268083-03,9000,RTB 2,"EWALD, ANDREW",JOHNS HOPKINS UNIVERSITY,MD,330330,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10747344,2024,NCI,5R01CA267101-04,,Overcoming chemoresistance in triple negative breast cancer,"SAHIN, OZGUR",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,352295,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747362,2024,NCI,5R01CA243326-05,,Optimizing Response to Immune Checkpoint Inhibitor Therapy for Breast Cancer: A Role for Inhibitors of the PI3K pathway,"RICHMOND, ANN",VANDERBILT UNIVERSITY,TN,345281,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747383,2024,NCI,5K00CA245719-07,,Dissecting the mechanistic role of multinucleation in breast and trophoblast cancers ,"KEENEN, MADELINE",DUKE UNIVERSITY,NC,95046,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747405,2024,NCI,5R37CA234488-06,,Role of tumor cell cluster-induced signaling in breast cancer metastasis,"CHEUNG, KEVIN",FRED HUTCHINSON CANCER CENTER,WA,382471,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747436,2024,NCI,5R01CA277862-02,,Understanding the role of adiposity and adipokine-related RNA expression in the tumor microenvironment on breast cancer outcomes in a racially and ethnically diverse sample,"LLANOS WILSON, ADANA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,671015,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10747940,2024,NCI,5P30CA023108-45,9137,Mouse Modeling (MM),"FIERING, STEVEN",DARTMOUTH COLLEGE,NH,140484,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10747947,2024,NCI,5P30CA023108-45,9140,Cancer Population Sciences (CPS),"CHRISTENSEN, BROCK",DARTMOUTH COLLEGE,NH,72343,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10747988,2024,NCI,5K00CA264734-04,,Matrix Accumulation in the Metastatic Niche,"LIBRING, SARAH",VANDERBILT UNIVERSITY,TN,54534,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10749015,2024,NCI,5R01CA239227-05,,FoXM1 inhibition: a novel therapeutic avenue to treat breast cancers,"RAO, MANJEET",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,377821,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10749915,2024,NCI,5R01CA250412-04,,Impact of Circulating Myeloid Cell Clusters on Anti-Tumor Immunity,"EVANS, SHARON",ROSWELL PARK CANCER INSTITUTE CORP,NY,662308,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
