Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10861813,2024,NCI,5P01CA257906-03,6386,Core 3: Bioinformatics and Biostatistics Core,"LIU, YUAN",EMORY UNIVERSITY,GA,188578,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10861873,2024,NCI,5R01CA244144-05,,Targeting SLC7A11-induced nutrient dependency in cancer: mechanisms and preclinical translation,"GAN, BOYI",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,404602,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10862318,2024,NCI,1R21CA288677-01,,Defining signatures of epigenetic sensitization to lung cancer in a mouse model,"LESCH, BLUMA",YALE UNIVERSITY,CT,234730,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10862751,2024,NCI,5R01CA276178-02,,Integrated blood and radiomic subtyping to guide immunotherapy treatment selection and early response assessment in metastatic non-small cell lung cancer,"VOKES, NATALIE",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,636160,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10862864,2024,NCI,5R01CA239726-04,,A Genetically Tractable Mouse Model for PRKCI-driven Lung Squamous Cell Carcinoma,"FIELDS, ALAN",MAYO CLINIC  JACKSONVILLE,FL,340095,Mechanistic_Pathogenesis,PRKCI-driven lung SCC mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10863456,2024,NCI,1R21CA288787-01,,Exploiting Lineage-Specific Dependencies in Solid Tumors: Using Transcription Factors to Drive Therapeutic Effect In Situ,"WRANGLE, JOHN",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,211778,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10863886,2024,NIDCR,5R21DE032468-02,,Evaluation of smoking-associated genes in disparate Appalachian head and neck cancer,"WEED, SCOTT",WEST VIRGINIA UNIVERSITY,WV,190000,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure and genetic terms (gene–environment interaction),Smoking,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10864009,2024,NCI,5R01CA269832-02,,Promoting Equity of Cancer Screening and Follow-up for Lung Cancer,"DOUBENI, CHYKE",OHIO STATE UNIVERSITY,OH,642126,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10864047,2024,NCI,5R37CA251629-05,,Mechanisms and Vulnerabilities of  SWI/SNF chromatin remodeling complex mutant lung cancer,"LISSANU, YONATHAN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,448439,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10865080,2024,NCI,5R01CA204120-08,,Novel Methods for Identifying Genetic Interactions for Cancer Prognosis,"MA, SHUANGGE",YALE UNIVERSITY,CT,377922,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
